candidate_id,likely_strategy_id,game,source_type,evidence_path,evidence_commit,deleted_path,deleted_at_commit,restorable_from_commit,p356a_present,p356a_classification,current_callable_exists,likely_runtime_dependencies,recovery_status,replay_readiness,adapter_needed,risk_level,notes
P357B-CURRENT-001,biglotto_deviation_2bet,BIG_LOTTO,P356B_MANIFEST,artifacts/P356B_replay_eligible_manifest.csv,f8ef27f73887c622148184f6cd527f9c73ce53d6,,,,true,EXECUTABLE,true,current replay harness; no recovery needed,CURRENT_EXECUTABLE,READY,NO,LOW,P356B replay eligible callable: tools.predict_biglotto_deviation_2bet.deviation_complement_2bet. P356C reviewed 4 replay windows without result rewrite.
P357B-CURRENT-002,biglotto_echo_aware_3bet,BIG_LOTTO,P356B_MANIFEST,artifacts/P356B_replay_eligible_manifest.csv,f8ef27f73887c622148184f6cd527f9c73ce53d6,,,,true,EXECUTABLE,true,current replay harness; no recovery needed,CURRENT_EXECUTABLE,READY,NO,LOW,P356B replay eligible callable: tools.predict_biglotto_echo_3bet.echo_aware_mixed_3bet. P356C reviewed 4 replay windows without result rewrite.
P357B-CURRENT-003,biglotto_triple_strike,BIG_LOTTO,P356B_MANIFEST,artifacts/P356B_replay_eligible_manifest.csv,f8ef27f73887c622148184f6cd527f9c73ce53d6,,,,true,EXECUTABLE,true,current replay harness; no recovery needed,CURRENT_EXECUTABLE,READY,NO,LOW,P356B replay eligible callable: tools.predict_biglotto_triple_strike.generate_triple_strike. P356C reviewed 4 replay windows without result rewrite.
P357B-CURRENT-004,biglotto_ts3_markov_4bet_w30,BIG_LOTTO,P356B_MANIFEST,artifacts/P356B_replay_eligible_manifest.csv,f8ef27f73887c622148184f6cd527f9c73ce53d6,,,,true,EXECUTABLE,true,current replay harness; no recovery needed,CURRENT_EXECUTABLE,READY,NO,LOW,P356B replay eligible callable: tools.backtest_biglotto_5bet_ts3markov.generate_ts3_markov_4bet. P356C reviewed 4 replay windows without result rewrite.
P357B-CURRENT-005,cold_complement_biglotto,BIG_LOTTO,P356B_MANIFEST,artifacts/P356B_replay_eligible_manifest.csv,f8ef27f73887c622148184f6cd527f9c73ce53d6,,,,true,EXECUTABLE,true,current replay harness; no recovery needed,CURRENT_EXECUTABLE,READY,NO,LOW,P356B replay eligible callable: lottery_api.models.p42_wave3_biglotto_adapters.predict_cold_complement_bet1. P356C reviewed 4 replay windows without result rewrite.
P357B-CURRENT-006,coldpool15_biglotto,BIG_LOTTO,P356B_MANIFEST,artifacts/P356B_replay_eligible_manifest.csv,f8ef27f73887c622148184f6cd527f9c73ce53d6,,,,true,EXECUTABLE,true,current replay harness; no recovery needed,CURRENT_EXECUTABLE,READY,NO,LOW,P356B replay eligible callable: lottery_api.models.p42_wave3_biglotto_adapters.predict_coldpool15_candidates. P356C reviewed 4 replay windows without result rewrite.
P357B-CURRENT-007,fourier30_markov30_biglotto,BIG_LOTTO,P356B_MANIFEST,artifacts/P356B_replay_eligible_manifest.csv,f8ef27f73887c622148184f6cd527f9c73ce53d6,,,,true,EXECUTABLE,true,current replay harness; no recovery needed,CURRENT_EXECUTABLE,READY,NO,LOW,P356B replay eligible callable: lottery_api.models.p42_wave3_biglotto_adapters.predict_fourier30_markov30_candidates. P356C reviewed 4 replay windows without result rewrite.
P357B-CURRENT-008,markov_2bet_biglotto,BIG_LOTTO,P356B_MANIFEST,artifacts/P356B_replay_eligible_manifest.csv,f8ef27f73887c622148184f6cd527f9c73ce53d6,,,,true,EXECUTABLE,true,current replay harness; no recovery needed,CURRENT_EXECUTABLE,READY,NO,LOW,P356B replay eligible callable: lottery_api.models.p42_wave3_biglotto_adapters.predict_markov_2bet_candidates. P356C reviewed 4 replay windows without result rewrite.
P357B-CURRENT-009,markov_single_biglotto,BIG_LOTTO,P356B_MANIFEST,artifacts/P356B_replay_eligible_manifest.csv,f8ef27f73887c622148184f6cd527f9c73ce53d6,,,,true,EXECUTABLE,true,current replay harness; no recovery needed,CURRENT_EXECUTABLE,READY,NO,LOW,P356B replay eligible callable: lottery_api.models.p42_wave3_biglotto_adapters.predict_markov_single. P356C reviewed 4 replay windows without result rewrite.
P357B-CURRENT-010,ts3_regime_3bet,BIG_LOTTO,P356B_MANIFEST,artifacts/P356B_replay_eligible_manifest.csv,f8ef27f73887c622148184f6cd527f9c73ce53d6,,,,true,EXECUTABLE,true,current replay harness; no recovery needed,CURRENT_EXECUTABLE,READY,NO,LOW,P356B replay eligible callable: tools.backtest_biglotto_enhancements.ts3_regime_candidates. P356C reviewed 4 replay windows without result rewrite.
P357B-HIST-001,biglotto_ts3_markov_freq_5bet,BIG_LOTTO,REGISTRY_STUB,lottery_api/models/replay_strategy_registry.py,e3265ad4baeb35d0e8e60d6df5915bdd4ddfa855,,,,true,MISSING_CODE,true,python; lottery_api.database; numpy/scipy maybe required; historical DB read must be immutable for replay,HISTORICAL_DELETED_NEEDS_RECONSTRUCTION,NEEDS_RECONSTRUCTION,YES,HIGH,P356A found non-executable lifecycle stub only. No direct deleted Python implementation matched; docs say reconstructible/code-scan and later governance rejected/superseded.
P357B-HIST-002,biglotto_ts3_acb_4bet,BIG_LOTTO,REGISTRY_STUB,lottery_api/models/replay_strategy_registry.py,e3265ad4baeb35d0e8e60d6df5915bdd4ddfa855,tmp/backend_archive/root_legacy/backtest_ts3_acb_4bet_results.json,73062646f11d8881ab6c49565977fb553739bdf3,73062646^,true,MISSING_CODE,true,python; lottery_api.database; numpy/scipy maybe required; historical DB read must be immutable for replay,HISTORICAL_DELETED_NEEDS_RECONSTRUCTION,NEEDS_RECONSTRUCTION,YES,HIGH,"P356A MISSING_CODE. Current registry has visibility stub; rejected JSON exists, but only historical result JSON deletion found, not runnable source."
P357B-HIST-003,ts3_acb_4bet_biglotto,BIG_LOTTO,REJECTED_JSON,rejected/ts3_acb_4bet_biglotto.json,e3265ad4baeb35d0e8e60d6df5915bdd4ddfa855,,,,true,MISSING_CODE,true,registry/docs/rejected artifact parser; adapter required before replay,HISTORICAL_DELETED_NEEDS_RECONSTRUCTION,NEEDS_RECONSTRUCTION,YES,HIGH,Rejected artifact lineage. Needs code reconstruction or mapping to a current TS3/ACB implementation before replay.
P357B-IDREUSE-001,bet2_fourier_expansion_biglotto,BIG_LOTTO,PYTHON_CURRENT,lottery_api/models/p42_wave3_biglotto_adapters.py,e3265ad4baeb35d0e8e60d6df5915bdd4ddfa855,,,,true,ID_REUSED,true,python; lottery_api.database; numpy/scipy maybe required; historical DB read must be immutable for replay,ID_REUSED_NEEDS_SPLIT,NEEDS_ADAPTER,YES,HIGH,"Current frozen no-DB adapter is callable, but P356A confirmed strategy_id reuse; do not merge with historical rejected JSON lineage."
