lottery,strategy_id,strategy_name,p297_current_status,p297_lifecycle_status,db_replay_rows,db_distinct_target_draws,predicted_special_null_rows,predicted_special_nonnull_rows,canonical_source_status,readiness_classification,blocked_reason,valid_subset_description
POWER_LOTTO,cold_complement_2bet,cold_complement_2bet,,,1500,1500,0,1500,ABSENT,PARTIAL_SUBSET_ONLY,POWER_LOTTO canonical draw view is absent and full POWER_LOTTO prize-aware replay remains blocked; this strategy has only rows where predicted_special IS NOT NULL eligible for research-only subset evaluation.,1500 rows with predicted_special IS NOT NULL; exclude NULL rows with exclusion_reason=predicted_second_zone_missing.
POWER_LOTTO,fourier30_markov30_2bet,fourier30_markov30_2bet,,,1501,1501,1,1500,ABSENT,PARTIAL_SUBSET_ONLY,POWER_LOTTO canonical draw view is absent and full POWER_LOTTO prize-aware replay remains blocked; this strategy has only rows where predicted_special IS NOT NULL eligible for research-only subset evaluation. Exclude 1 rows where predicted_special IS NULL.,1500 rows with predicted_special IS NOT NULL; exclude NULL rows with exclusion_reason=predicted_second_zone_missing.
POWER_LOTTO,fourier_rhythm_3bet,威力彩 Fourier Rhythm 3注,,,4503,1501,4503,0,ABSENT,BLOCKED,All inspected replay rows for this strategy have predicted_special IS NULL; missing second-zone predictions block prize-aware POWER_LOTTO evaluation.,No valid predicted_special non-null subset for this strategy.
POWER_LOTTO,h6_gate_mk20_ew85,威力彩 H6 Gate mk20 ew85,,,0,0,0,0,ABSENT,NOT_READY,No POWER_LOTTO replay rows with predicted_special in inspected DB; cannot enter prize-aware replay evaluation.,No valid subset in inspected DB for this strategy.
POWER_LOTTO,midfreq_fourier_2bet,威力彩 MidFreq+Fourier 2注,,,1500,1500,0,1500,ABSENT,PARTIAL_SUBSET_ONLY,POWER_LOTTO canonical draw view is absent and full POWER_LOTTO prize-aware replay remains blocked; this strategy has only rows where predicted_special IS NOT NULL eligible for research-only subset evaluation.,1500 rows with predicted_special IS NOT NULL; exclude NULL rows with exclusion_reason=predicted_second_zone_missing.
POWER_LOTTO,midfreq_fourier_mk_3bet,威力彩 MidFreq+Fourier+Markov 3注,,,4500,1500,3000,1500,ABSENT,PARTIAL_SUBSET_ONLY,POWER_LOTTO canonical draw view is absent and full POWER_LOTTO prize-aware replay remains blocked; this strategy has only rows where predicted_special IS NOT NULL eligible for research-only subset evaluation. Exclude 3000 rows where predicted_special IS NULL.,1500 rows with predicted_special IS NOT NULL; exclude NULL rows with exclusion_reason=predicted_second_zone_missing.
POWER_LOTTO,power_fourier_rhythm_2bet,power_fourier_rhythm_2bet,,,3000,1500,3000,0,ABSENT,BLOCKED,All inspected replay rows for this strategy have predicted_special IS NULL; missing second-zone predictions block prize-aware POWER_LOTTO evaluation.,No valid predicted_special non-null subset for this strategy.
POWER_LOTTO,power_orthogonal_5bet,威力彩 Orthogonal 5注,,,7550,1550,7550,0,ABSENT,BLOCKED,All inspected replay rows for this strategy have predicted_special IS NULL; missing second-zone predictions block prize-aware POWER_LOTTO evaluation.,No valid predicted_special non-null subset for this strategy.
POWER_LOTTO,power_precision_3bet,威力彩 Precision 3注,,,4550,1550,4550,0,ABSENT,BLOCKED,All inspected replay rows for this strategy have predicted_special IS NULL; missing second-zone predictions block prize-aware POWER_LOTTO evaluation.,No valid predicted_special non-null subset for this strategy.
POWER_LOTTO,power_shlc_midfreq,威力彩 SHLC 中頻指標,,,0,0,0,0,ABSENT,NOT_READY,No POWER_LOTTO replay rows with predicted_special in inspected DB; cannot enter prize-aware replay evaluation.,No valid subset in inspected DB for this strategy.
POWER_LOTTO,pp3_freqort_4bet,威力彩 PP3+FreqOrt 4注,,,6000,1500,4500,1500,ABSENT,PARTIAL_SUBSET_ONLY,POWER_LOTTO canonical draw view is absent and full POWER_LOTTO prize-aware replay remains blocked; this strategy has only rows where predicted_special IS NOT NULL eligible for research-only subset evaluation. Exclude 4500 rows where predicted_special IS NULL.,1500 rows with predicted_special IS NOT NULL; exclude NULL rows with exclusion_reason=predicted_second_zone_missing.
POWER_LOTTO,zonal_entropy_2bet,zonal_entropy_2bet,,,1500,1500,0,1500,ABSENT,PARTIAL_SUBSET_ONLY,POWER_LOTTO canonical draw view is absent and full POWER_LOTTO prize-aware replay remains blocked; this strategy has only rows where predicted_special IS NOT NULL eligible for research-only subset evaluation.,1500 rows with predicted_special IS NOT NULL; exclude NULL rows with exclusion_reason=predicted_second_zone_missing.
