strategy_id,prior_disposition,decision,final_disposition,entrypoint,canonical_strategy_id,source_commit,source_path,evidence
acb_hot_fourier_3bet_biglotto,MISSING_IMPLEMENTATION,RECOVER_AND_BACKTEST,COMPLETE_ADAPTER_20,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_acb_hot_fourier_3bet,,28940a2572c051c6ba8b2ab6a077f706e800477d,tools/adaptive_acb.py; tools/backtest_adaptive_acb_full.py,"exact historical ACB, hot-50, and Fourier-500 functions"
apriori_3bet_biglotto,MISSING_IMPLEMENTATION,RECOVER_AND_BACKTEST,COMPLETE_ADAPTER_20,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_apriori_3bet,,e56ce9f196342e9d50edc9fd19c42f72c1fa2047,tools/predict_biglotto_apriori.py; tools/backtest_apriori.py,direct current historical-cutoff entrypoint
bet2_fourier_expansion_biglotto@rejected_json_historical,MISSING_IMPLEMENTATION,TERMINAL_EXCLUSION,INSUFFICIENT_ALGORITHM_SPECIFICATION,,,,rejected/bet2_fourier_expansion_biglotto.json,"rejected/bet2_fourier_expansion_biglotto.json defines rank7-14 and a 2:2:2 zone filter but not the complete ranking, combination, fallback, or tie-breaking procedure; the current P42 implementation is a proven distinct lineage"
biglotto_10bet_combined,PARTIAL_BACKTEST,RECOVER_AND_BACKTEST,COMPLETE_ADAPTER_20,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_biglotto_10bet_combined,,285e161e7798d961002bf17fa5dc61ee8cffecda,tools/backtest_biglotto_10bet_combined.py; tools/quick_predict.py@2164b657..285e161e,exact composition recovered from the deleted runner and its two adjacent committed quick_predict implementations
biglotto_5bet_orthogonal,PARTIAL_BACKTEST,RECOVER_AND_BACKTEST,COMPLETE_ADAPTER_20,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_biglotto_5bet_orthogonal,,e56ce9f196342e9d50edc9fd19c42f72c1fa2047,tools/backtest_big_lotto_orthogonal_5bet.py,direct current exact orthogonal five-bet generator
biglotto_ts3_acb_4bet,MISSING_IMPLEMENTATION,RECOVER_AND_BACKTEST,COMPLETE_ADAPTER_20,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_ts3_acb_4bet,,28940a2572c051c6ba8b2ab6a077f706e800477d,tools/adaptive_acb.py; tools/predict_biglotto_triple_strike.py,exact TS3 plus committed AdaptiveACB window-30 composition
biglotto_ts3_markov_freq_5bet,MISSING_IMPLEMENTATION,RECOVER_AND_BACKTEST,COMPLETE_ADAPTER_20,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_ts3_markov_freq_5bet,,5efcc1e480e6a1aebda47cd76a0b2115f7d9d469,tools/backtest_biglotto_5bet_ts3markov.py,direct current exact generator
biglotto_zonal_pruning,PARTIAL_BACKTEST,TERMINAL_EXCLUSION,OTHER_EVIDENCED_TERMINAL_EXCLUSION,,,,,"the exact committed zonal_pruned_predict can return 1-3 bets when pruning retains a non-empty short list; canonical cutoff 103000046 returned 3 against the governed 4-bet contract, and no committed backfill rule exists"
cluster_pivot_biglotto,MISSING_IMPLEMENTATION,RECOVER_AND_BACKTEST,COMPLETE_ADAPTER_20,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_cluster_pivot_4bet,,ccf7c0c39c5f4b00c0976fd23fee31894315188e,tools/backtest_cluster_pivot_biglotto.py,direct current exact four-bet generator
gap_dynamic_threshold_biglotto,MISSING_IMPLEMENTATION,RECOVER_AND_BACKTEST,COMPLETE_ADAPTER_20,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_gap_dynamic_threshold,,e56ce9f196342e9d50edc9fd19c42f72c1fa2047,tools/backtest_gap_dynamic_1500.py,direct current exact default-parameter generator
hot_gap_return_biglotto,MISSING_IMPLEMENTATION,TERMINAL_EXCLUSION,INSUFFICIENT_ALGORITHM_SPECIFICATION,,,,rejected/hot_gap_return_biglotto.json,"rejected/hot_gap_return_biglotto.json defines a candidate signal only; it leaves the base portfolio, candidate insertion, fallback, and ticket construction unspecified"
hot_stop_rebound_biglotto,MISSING_IMPLEMENTATION,RECOVER_AND_BACKTEST,COMPLETE_ADAPTER_20,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_hot_stop_rebound,,e9b6c604b2bbb41da211791ad4c37b9b1dc62635,tools/backtest_biglotto_hot_stop_rebound.py,direct current exact best-parameter generator
markov_repeat_exception_biglotto,MISSING_IMPLEMENTATION,RECOVER_AND_BACKTEST,COMPLETE_ADAPTER_20,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_markov_repeat_exception,,e56ce9f196342e9d50edc9fd19c42f72c1fa2047,tools/backtest_markov_repeat_exception.py,direct current exact boost=0.1 generator
multiwindow_fourier_biglotto,MISSING_IMPLEMENTATION,TERMINAL_EXCLUSION,MISSING_IMPLEMENTATION_CONFIRMED,,,,rejected/multiwindow_fourier_biglotto.json,"all-ref history contains the rejected result artifact but no executable multi-window implementation; the artifact omits window weights, score fusion, and tie-breaking"
neighbor_injection_biglotto,MISSING_IMPLEMENTATION,RECOVER_AND_BACKTEST,COMPLETE_ADAPTER_20,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_neighbor_injection,,28940a2572c051c6ba8b2ab6a077f706e800477d,tools/backtest_p0_p3_optimization.py,minimal adapter recovered from deleted P0 source
predict_biglotto_regime,PARTIAL_BACKTEST,RECOVER_AND_BACKTEST,COMPLETE_ADAPTER_20,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_predict_biglotto_regime_3bet,,28940a2572c051c6ba8b2ab6a077f706e800477d,tools/predict_biglotto_regime.py,minimal adapter recovered from deleted committed source
