prompt_source,prompt_id,title,status,contains_no_db_constraint,contains_no_adapter_calls_constraint,contains_no_new_scoring_constraint,contains_no_deploy_constraint,contains_no_betting_advice_constraint,contains_no_future_prediction_constraint,does_not_grant_standing_authorization,forbidden_authorization_absent,details
P369_task_prompts_wrapped_by_P370,read_only_api_exploration,Read-only API exploration,PASS,YES,YES,YES,YES,YES,YES,YES,YES,Prompt/template contains required safety constraints and does not authorize forbidden actions.
P369_task_prompts_wrapped_by_P370,no_db_artifact_audit,No-DB artifact audit,PASS,YES,YES,YES,YES,YES,YES,YES,YES,Prompt/template contains required safety constraints and does not authorize forbidden actions.
P369_task_prompts_wrapped_by_P370,no_db_dashboard_smoke_check,No-DB dashboard smoke check,PASS,YES,YES,YES,YES,YES,YES,YES,YES,Prompt/template contains required safety constraints and does not authorize forbidden actions.
P369_task_prompts_wrapped_by_P370,no_db_compatibility_revalidation,No-DB compatibility revalidation,PASS,YES,YES,YES,YES,YES,YES,YES,YES,Prompt/template contains required safety constraints and does not authorize forbidden actions.
P369_task_prompts_wrapped_by_P370,no_db_cli_usage_examples,No-DB CLI usage examples,PASS,YES,YES,YES,YES,YES,YES,YES,YES,Prompt/template contains required safety constraints and does not authorize forbidden actions.
P370_task_card,read_only_api_exploration,Read-only API exploration,PASS,YES,YES,YES,YES,YES,YES,YES,YES,Prompt/template contains required safety constraints and does not authorize forbidden actions.
P370_task_card,artifact_inventory_audit,Artifact inventory audit,PASS,YES,YES,YES,YES,YES,YES,YES,YES,Prompt/template contains required safety constraints and does not authorize forbidden actions.
P370_task_card,compatibility_revalidation,Compatibility revalidation,PASS,YES,YES,YES,YES,YES,YES,YES,YES,Prompt/template contains required safety constraints and does not authorize forbidden actions.
P370_task_card,dashboard_explorer_smoke_check,Dashboard/explorer smoke check,PASS,YES,YES,YES,YES,YES,YES,YES,YES,Prompt/template contains required safety constraints and does not authorize forbidden actions.
P370_task_card,local_evidence_query_examples,Local evidence query examples,PASS,YES,YES,YES,YES,YES,YES,YES,YES,Prompt/template contains required safety constraints and does not authorize forbidden actions.
