strategy_id,strategy_name,game,governance_status,independent_algorithm_id,alias_of,equivalence_group,current_source_path,historical_source_commit,historical_source_path,implementation_kind,entrypoint,native_ticket_count,strategy_signal_available,supports_historical_cutoff,required_inputs,dependency_status,external_state_dependency,leakage_status,recovery_status,terminal_disposition,evidence
acb_hot_fourier_3bet_biglotto,acb_hot_fourier_3bet_biglotto,BIG_LOTTO,REJECTED,acb_hot_fourier_3bet_biglotto,,,,,rejected/acb_hot_fourier_3bet_biglotto.json,rejected_strategy_artifact,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,rejected/acb_hot_fourier_3bet_biglotto.json
apriori_3bet_biglotto,apriori_3bet_biglotto,BIG_LOTTO,REJECTED,apriori_3bet_biglotto,,,,,rejected/apriori_3bet_biglotto.json,rejected_strategy_artifact,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,rejected/apriori_3bet_biglotto.json
bet2_fourier_expansion_biglotto@p42_p280_frozen_code,大樂透 Bet2 Fourier Expansion,BIG_LOTTO,REJECTED,bet2_fourier_expansion_biglotto@p42_p280_frozen_code,,,lottery_api/models/p42_wave3_biglotto_adapters.py,,rejected/bet2_fourier_expansion_biglotto.json,current_id_reuse_lineage,lottery_api.models.p42_wave3_biglotto_adapters.predict_fourier_expansion_bet1,1.0,True,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,PASS,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,current replay lifecycle registry; rejected/bet2_fourier_expansion_biglotto.json; P358B confirmed distinct current lineage
bet2_fourier_expansion_biglotto@rejected_json_historical,大樂透 Bet2 Fourier Expansion,BIG_LOTTO,REJECTED,bet2_fourier_expansion_biglotto@rejected_json_historical,,,,,rejected/bet2_fourier_expansion_biglotto.json,historical_id_reuse_lineage,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,current replay lifecycle registry; rejected/bet2_fourier_expansion_biglotto.json; P358B confirmed distinct historical lineage
biglotto_10bet_combined,Deleted combined orthogonal/P1 10-bet,BIG_LOTTO,DELETED,biglotto_10bet_combined,,,,73062646^,tools/backtest_biglotto_10bet_combined.py,shape_safety_adapter_without_parity,recovered_strategies.biglotto.historical_adapters.adapt_biglotto_10bet_combined,10,False,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,NOT_RANKABLE_WITHOUT_PARITY,PARTIAL_SHAPE_EVIDENCE,PARTIAL_BACKTEST,P357B-HIST-010; P358/P359 shape-safety only
biglotto_5bet_orthogonal,Historical Big Lotto orthogonal 5-bet,BIG_LOTTO,UNKNOWN,biglotto_5bet_orthogonal,,,tools/quick_predict.py; tools/backtest_biglotto_5bet_ts3markov.py,,,shape_safety_adapter_without_parity,recovered_strategies.biglotto.historical_adapters.adapt_biglotto_5bet_orthogonal,5,False,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,NOT_RANKABLE_WITHOUT_PARITY,PARTIAL_SHAPE_EVIDENCE,PARTIAL_BACKTEST,P358/P359 shape-safety only; historical parity not proven
biglotto_deviation_2bet,大樂透 Deviation 2注,BIG_LOTTO,ONLINE,biglotto_deviation_2bet,,,,,,registry,P20C reviewed strategy specification,2.0,True,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,PASS,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,current replay lifecycle registry
biglotto_echo_aware_3bet,大樂透 Echo Aware 3注,BIG_LOTTO,RETIRED,biglotto_echo_aware_3bet,,,,,,registry,P20C reviewed strategy specification,3.0,True,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,PASS,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,current replay lifecycle registry
biglotto_p0_2bet,Big Lotto P0 2-bet,BIG_LOTTO,UNKNOWN,biglotto_p0_2bet,,,tools/quick_predict.py,,,recovered_exact_adapter,recovered_strategies.biglotto.historical_adapters.adapt_biglotto_p0_2bet,2.0,True,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,PASS,RECOVERED_ENTRYPOINT,COMPLETE_ADAPTER_20,P357B-CURRENT-011; P358 parity acceptable
biglotto_social_wisdom_anti_popularity,大樂透 Social Wisdom Anti-Popularity,BIG_LOTTO,OBSERVATION,history::lottery_api/models/social_wisdom_predictor.py,,social_wisdom_family,,,,registry,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,RESOLVED_EQUIVALENT,EQUIVALENT_IMPLEMENTATION,current replay lifecycle registry
biglotto_triple_strike,大樂透 Triple Strike,BIG_LOTTO,ONLINE,biglotto_triple_strike,,,,,,registry,P20C reviewed strategy specification,3.0,True,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,PASS,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,current replay lifecycle registry
biglotto_ts3_acb_4bet,大樂透 TS3+ACB 4注,BIG_LOTTO,REJECTED,biglotto_ts3_acb_4bet,,ts3_acb_aliases,,,,registry,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,current replay lifecycle registry
biglotto_ts3_markov_4bet_w30,大樂透 TS3+Markov 4注 w30,BIG_LOTTO,RETIRED,biglotto_ts3_markov_4bet_w30,,,,,,registry,P20C reviewed strategy specification,4.0,True,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,PASS,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,current replay lifecycle registry
biglotto_ts3_markov_freq_5bet,大樂透 TS3+Markov 頻率正交 5注,BIG_LOTTO,REJECTED,biglotto_ts3_markov_freq_5bet,,ts3_markov_freq_aliases,,,,registry,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,current replay lifecycle registry
