strategy_id,strategy_name,governance_status,independent_algorithm_id,alias_of,equivalence_group,implementation_kind,entrypoint,supports_historical_cutoff,strategy_signal_available,recovery_status,terminal_disposition,evidence
acb_hot_fourier_3bet_biglotto,acb_hot_fourier_3bet_biglotto,REJECTED,acb_hot_fourier_3bet_biglotto,,,p20t_exact_recovery_adapter,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_acb_hot_fourier_3bet,True,True,P20T_COMPLETE,COMPLETE_ADAPTER_20,"exact historical ACB, hot-50, and Fourier-500 functions"
apriori_3bet_biglotto,apriori_3bet_biglotto,REJECTED,apriori_3bet_biglotto,,,p20t_exact_recovery_adapter,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_apriori_3bet,True,True,P20T_COMPLETE,COMPLETE_ADAPTER_20,direct current historical-cutoff entrypoint
bet2_fourier_expansion_biglotto@p42_p280_frozen_code,大樂透 Bet2 Fourier Expansion,REJECTED,bet2_fourier_expansion_biglotto@p42_p280_frozen_code,,,current_id_reuse_lineage,lottery_api.models.p42_wave3_biglotto_adapters.predict_fourier_expansion_bet1,True,True,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,current replay lifecycle registry; rejected/bet2_fourier_expansion_biglotto.json; P358B confirmed distinct current lineage
bet2_fourier_expansion_biglotto@rejected_json_historical,大樂透 Bet2 Fourier Expansion,REJECTED,bet2_fourier_expansion_biglotto@rejected_json_historical,,,historical_id_reuse_lineage,,False,False,P20T_CONCLUSIVE_RESOLUTION,INSUFFICIENT_ALGORITHM_SPECIFICATION,"rejected/bet2_fourier_expansion_biglotto.json defines rank7-14 and a 2:2:2 zone filter but not the complete ranking, combination, fallback, or tie-breaking procedure; the current P42 implementation is a proven distinct lineage"
biglotto_10bet_combined,Deleted combined orthogonal/P1 10-bet,DELETED,biglotto_10bet_combined,,,p20t_exact_recovery_adapter,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_biglotto_10bet_combined,True,True,P20T_COMPLETE,COMPLETE_ADAPTER_20,exact composition recovered from the deleted runner and its two adjacent committed quick_predict implementations
biglotto_5bet_orthogonal,Historical Big Lotto orthogonal 5-bet,UNKNOWN,biglotto_5bet_orthogonal,,,p20t_exact_recovery_adapter,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_biglotto_5bet_orthogonal,True,True,P20T_COMPLETE,COMPLETE_ADAPTER_20,direct current exact orthogonal five-bet generator
biglotto_deviation_2bet,大樂透 Deviation 2注,ONLINE,biglotto_deviation_2bet,,,registry,P20C reviewed strategy specification,True,True,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,current replay lifecycle registry
biglotto_echo_aware_3bet,大樂透 Echo Aware 3注,RETIRED,biglotto_echo_aware_3bet,,,registry,P20C reviewed strategy specification,True,True,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,current replay lifecycle registry
biglotto_p0_2bet,Big Lotto P0 2-bet,UNKNOWN,biglotto_p0_2bet,,,recovered_exact_adapter,recovered_strategies.biglotto.historical_adapters.adapt_biglotto_p0_2bet,True,True,RECOVERED_ENTRYPOINT,COMPLETE_ADAPTER_20,P357B-CURRENT-011; P358 parity acceptable
biglotto_social_wisdom_anti_popularity,大樂透 Social Wisdom Anti-Popularity,OBSERVATION,history::lottery_api/models/social_wisdom_predictor.py,,social_wisdom_family,registry,,False,False,RESOLVED_EQUIVALENT,EQUIVALENT_IMPLEMENTATION,current replay lifecycle registry
biglotto_triple_strike,大樂透 Triple Strike,ONLINE,biglotto_triple_strike,,,registry,P20C reviewed strategy specification,True,True,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,current replay lifecycle registry
biglotto_ts3_acb_4bet,大樂透 TS3+ACB 4注,REJECTED,biglotto_ts3_acb_4bet,,ts3_acb_aliases,p20t_exact_recovery_adapter,recovered_strategies.biglotto.p20t_recovery_adapters.adapt_ts3_acb_4bet,True,True,P20T_COMPLETE,COMPLETE_ADAPTER_20,exact TS3 plus committed AdaptiveACB window-30 composition
biglotto_ts3_markov_4bet_w30,大樂透 TS3+Markov 4注 w30,RETIRED,biglotto_ts3_markov_4bet_w30,,,registry,P20C reviewed strategy specification,True,True,PREVIOUSLY_COMPLETE_P20C,COMPLETE_ADAPTER_20,current replay lifecycle registry
