strategy_id,current_paths_searched,historical_commits_searched,historical_paths_found,tests_or_fixtures_found,algorithm_specification_found,required_inputs,missing_inputs,recovery_decision,decision_evidence
acb_hot_fourier_3bet_biglotto,current source tree; rejected/; tools/; lottery_api/models/; tests/; docs/; outputs/; artifacts/,28940a2572c051c6ba8b2ab6a077f706e800477d,tools/adaptive_acb.py; tools/backtest_adaptive_acb_full.py,P20S/P358 fixtures plus P20T focused parity fixtures,COMPLETE_EXECUTABLE_SOURCE,strictly-prior canonical BIG_LOTTO draws ordered old-to-new,,RECOVER_AND_BACKTEST,"exact historical ACB, hot-50, and Fourier-500 functions"
apriori_3bet_biglotto,current source tree; rejected/; tools/; lottery_api/models/; tests/; docs/; outputs/; artifacts/,e56ce9f196342e9d50edc9fd19c42f72c1fa2047,tools/predict_biglotto_apriori.py; tools/backtest_apriori.py,P20S/P358 fixtures plus P20T focused parity fixtures,COMPLETE_EXECUTABLE_SOURCE,strictly-prior canonical BIG_LOTTO draws ordered old-to-new,,RECOVER_AND_BACKTEST,direct current historical-cutoff entrypoint
bet2_fourier_expansion_biglotto@rejected_json_historical,current source tree; rejected/; tools/; lottery_api/models/; tests/; docs/; outputs/; artifacts/,git log --all; deleted/renamed path history; P20S/P356/P358 evidence,rejected/bet2_fourier_expansion_biglotto.json,P20S/P358 fixtures plus P20T focused parity fixtures,INCOMPLETE_OR_EQUIVALENT,strictly-prior canonical BIG_LOTTO draws ordered old-to-new,"complete executable source or fully specified calculations, parameters, fallbacks, and tie-breaking",INSUFFICIENT_ALGORITHM_SPECIFICATION,"rejected/bet2_fourier_expansion_biglotto.json defines rank7-14 and a 2:2:2 zone filter but not the complete ranking, combination, fallback, or tie-breaking procedure; the current P42 implementation is a proven distinct lineage"
biglotto_10bet_combined,current source tree; rejected/; tools/; lottery_api/models/; tests/; docs/; outputs/; artifacts/,285e161e7798d961002bf17fa5dc61ee8cffecda,tools/backtest_biglotto_10bet_combined.py; tools/quick_predict.py@2164b657..285e161e,P20S/P358 fixtures plus P20T focused parity fixtures,COMPLETE_EXECUTABLE_SOURCE,strictly-prior canonical BIG_LOTTO draws ordered old-to-new,,RECOVER_AND_BACKTEST,exact composition recovered from the deleted runner and its two adjacent committed quick_predict implementations
biglotto_5bet_orthogonal,current source tree; rejected/; tools/; lottery_api/models/; tests/; docs/; outputs/; artifacts/,e56ce9f196342e9d50edc9fd19c42f72c1fa2047,tools/backtest_big_lotto_orthogonal_5bet.py,P20S/P358 fixtures plus P20T focused parity fixtures,COMPLETE_EXECUTABLE_SOURCE,strictly-prior canonical BIG_LOTTO draws ordered old-to-new,,RECOVER_AND_BACKTEST,direct current exact orthogonal five-bet generator
biglotto_ts3_acb_4bet,current source tree; rejected/; tools/; lottery_api/models/; tests/; docs/; outputs/; artifacts/,28940a2572c051c6ba8b2ab6a077f706e800477d,tools/adaptive_acb.py; tools/predict_biglotto_triple_strike.py,P20S/P358 fixtures plus P20T focused parity fixtures,COMPLETE_EXECUTABLE_SOURCE,strictly-prior canonical BIG_LOTTO draws ordered old-to-new,,RECOVER_AND_BACKTEST,exact TS3 plus committed AdaptiveACB window-30 composition
biglotto_ts3_markov_freq_5bet,current source tree; rejected/; tools/; lottery_api/models/; tests/; docs/; outputs/; artifacts/,5efcc1e480e6a1aebda47cd76a0b2115f7d9d469,tools/backtest_biglotto_5bet_ts3markov.py,P20S/P358 fixtures plus P20T focused parity fixtures,COMPLETE_EXECUTABLE_SOURCE,strictly-prior canonical BIG_LOTTO draws ordered old-to-new,,RECOVER_AND_BACKTEST,direct current exact generator
biglotto_zonal_pruning,current source tree; rejected/; tools/; lottery_api/models/; tests/; docs/; outputs/; artifacts/,git log --all; deleted/renamed path history; P20S/P356/P358 evidence,tools/biglotto_zonal_pruning.py; tools/predict_biglotto_zonal.py,P20S/P358 fixtures plus P20T focused parity fixtures,INCOMPLETE_OR_EQUIVALENT,strictly-prior canonical BIG_LOTTO draws ordered old-to-new,"complete executable source or fully specified calculations, parameters, fallbacks, and tie-breaking",OTHER_EVIDENCED_TERMINAL_EXCLUSION,"the exact committed zonal_pruned_predict can return 1-3 bets when pruning retains a non-empty short list; canonical cutoff 103000046 returned 3 against the governed 4-bet contract, and no committed backfill rule exists"
cluster_pivot_biglotto,current source tree; rejected/; tools/; lottery_api/models/; tests/; docs/; outputs/; artifacts/,ccf7c0c39c5f4b00c0976fd23fee31894315188e,tools/backtest_cluster_pivot_biglotto.py,P20S/P358 fixtures plus P20T focused parity fixtures,COMPLETE_EXECUTABLE_SOURCE,strictly-prior canonical BIG_LOTTO draws ordered old-to-new,,RECOVER_AND_BACKTEST,direct current exact four-bet generator
gap_dynamic_threshold_biglotto,current source tree; rejected/; tools/; lottery_api/models/; tests/; docs/; outputs/; artifacts/,e56ce9f196342e9d50edc9fd19c42f72c1fa2047,tools/backtest_gap_dynamic_1500.py,P20S/P358 fixtures plus P20T focused parity fixtures,COMPLETE_EXECUTABLE_SOURCE,strictly-prior canonical BIG_LOTTO draws ordered old-to-new,,RECOVER_AND_BACKTEST,direct current exact default-parameter generator
hot_gap_return_biglotto,current source tree; rejected/; tools/; lottery_api/models/; tests/; docs/; outputs/; artifacts/,git log --all; deleted/renamed path history; P20S/P356/P358 evidence,rejected/hot_gap_return_biglotto.json,P20S/P358 fixtures plus P20T focused parity fixtures,INCOMPLETE_OR_EQUIVALENT,strictly-prior canonical BIG_LOTTO draws ordered old-to-new,"complete executable source or fully specified calculations, parameters, fallbacks, and tie-breaking",INSUFFICIENT_ALGORITHM_SPECIFICATION,"rejected/hot_gap_return_biglotto.json defines a candidate signal only; it leaves the base portfolio, candidate insertion, fallback, and ticket construction unspecified"
hot_stop_rebound_biglotto,current source tree; rejected/; tools/; lottery_api/models/; tests/; docs/; outputs/; artifacts/,e9b6c604b2bbb41da211791ad4c37b9b1dc62635,tools/backtest_biglotto_hot_stop_rebound.py,P20S/P358 fixtures plus P20T focused parity fixtures,COMPLETE_EXECUTABLE_SOURCE,strictly-prior canonical BIG_LOTTO draws ordered old-to-new,,RECOVER_AND_BACKTEST,direct current exact best-parameter generator
markov_repeat_exception_biglotto,current source tree; rejected/; tools/; lottery_api/models/; tests/; docs/; outputs/; artifacts/,e56ce9f196342e9d50edc9fd19c42f72c1fa2047,tools/backtest_markov_repeat_exception.py,P20S/P358 fixtures plus P20T focused parity fixtures,COMPLETE_EXECUTABLE_SOURCE,strictly-prior canonical BIG_LOTTO draws ordered old-to-new,,RECOVER_AND_BACKTEST,direct current exact boost=0.1 generator
