tier,strategy_id,adapter_function,execution_status,readiness_status,parity_status,bet_count,window_size,fixture_size,period_count,output_shape,all_outputs_valid,deterministic,db_opened,production_registry_imported,blocked_reason,notes,outputs_json
p356_baseline,biglotto_deviation_2bet,NOT_EXECUTED_BY_DESIGN,PRIOR_REPLAY_EVIDENCE_ONLY,PRIOR_BASELINE_ONLY,PRIOR_P356_REPLAY_EVIDENCE,2,0,0,0,prior-p356-evidence,False,True,False,False,,Prior P356 evidence only; no production registry import and no DB-backed replay rerun.,
p356_baseline,biglotto_echo_aware_3bet,NOT_EXECUTED_BY_DESIGN,PRIOR_REPLAY_EVIDENCE_ONLY,PRIOR_BASELINE_ONLY,PRIOR_P356_REPLAY_EVIDENCE,3,0,0,0,prior-p356-evidence,False,True,False,False,,Prior P356 evidence only; no production registry import and no DB-backed replay rerun.,
p356_baseline,biglotto_triple_strike,NOT_EXECUTED_BY_DESIGN,PRIOR_REPLAY_EVIDENCE_ONLY,PRIOR_BASELINE_ONLY,PRIOR_P356_REPLAY_EVIDENCE,3,0,0,0,prior-p356-evidence,False,True,False,False,,Prior P356 evidence only; no production registry import and no DB-backed replay rerun.,
p356_baseline,biglotto_ts3_markov_4bet_w30,NOT_EXECUTED_BY_DESIGN,PRIOR_REPLAY_EVIDENCE_ONLY,PRIOR_BASELINE_ONLY,PRIOR_P356_REPLAY_EVIDENCE,4,0,0,0,prior-p356-evidence,False,True,False,False,,Prior P356 evidence only; no production registry import and no DB-backed replay rerun.,
p356_baseline,cold_complement_biglotto,NOT_EXECUTED_BY_DESIGN,PRIOR_REPLAY_EVIDENCE_ONLY,PRIOR_BASELINE_ONLY,PRIOR_P356_REPLAY_EVIDENCE,1,0,0,0,prior-p356-evidence,False,True,False,False,,Prior P356 evidence only; no production registry import and no DB-backed replay rerun.,
p356_baseline,coldpool15_biglotto,NOT_EXECUTED_BY_DESIGN,PRIOR_REPLAY_EVIDENCE_ONLY,PRIOR_BASELINE_ONLY,PRIOR_P356_REPLAY_EVIDENCE,3,0,0,0,prior-p356-evidence,False,True,False,False,,Prior P356 evidence only; no production registry import and no DB-backed replay rerun.,
p356_baseline,fourier30_markov30_biglotto,NOT_EXECUTED_BY_DESIGN,PRIOR_REPLAY_EVIDENCE_ONLY,PRIOR_BASELINE_ONLY,PRIOR_P356_REPLAY_EVIDENCE,2,0,0,0,prior-p356-evidence,False,True,False,False,,Prior P356 evidence only; no production registry import and no DB-backed replay rerun.,
p356_baseline,markov_2bet_biglotto,NOT_EXECUTED_BY_DESIGN,PRIOR_REPLAY_EVIDENCE_ONLY,PRIOR_BASELINE_ONLY,PRIOR_P356_REPLAY_EVIDENCE,2,0,0,0,prior-p356-evidence,False,True,False,False,,Prior P356 evidence only; no production registry import and no DB-backed replay rerun.,
p356_baseline,markov_single_biglotto,NOT_EXECUTED_BY_DESIGN,PRIOR_REPLAY_EVIDENCE_ONLY,PRIOR_BASELINE_ONLY,PRIOR_P356_REPLAY_EVIDENCE,1,0,0,0,prior-p356-evidence,False,True,False,False,,Prior P356 evidence only; no production registry import and no DB-backed replay rerun.,
p356_baseline,ts3_regime_3bet,NOT_EXECUTED_BY_DESIGN,PRIOR_REPLAY_EVIDENCE_ONLY,PRIOR_BASELINE_ONLY,PRIOR_P356_REPLAY_EVIDENCE,3,0,0,0,prior-p356-evidence,False,True,False,False,,Prior P356 evidence only; no production registry import and no DB-backed replay rerun.,
p358_parity_acceptable,biglotto_p0_2bet,adapt_biglotto_p0_2bet,EXECUTED_NO_DB,READY_FOR_NO_DB_HARNESS,PARITY_ACCEPTABLE_FOR_NO_DB_HARNESS,2,520,520,1,1x2x6,True,True,False,False,,Executed against deterministic in-memory fixture; output shape/readiness only; no outcome scoring.,"[[[7,8,10,24,27,37],[12,18,19,20,21,45]]]"
p358_parity_acceptable,predict_biglotto_echo_2bet,adapt_predict_biglotto_echo_2bet,EXECUTED_NO_DB,READY_FOR_NO_DB_HARNESS,PARITY_ACCEPTABLE_FOR_NO_DB_HARNESS,2,520,520,1,1x2x6,True,True,False,False,,Executed against deterministic in-memory fixture; output shape/readiness only; no outcome scoring.,"[[[6,8,10,14,40,47],[12,18,20,23,39,43]]]"
