strategy_id,lineage_label,game,status_if_known,source_kind,current_path,historical_commit,historical_path,deletion_commit,evidence_summary,p356_classification,p357b_classification,recovery_classification,adapter_readiness,expected_bet_count,output_shape,db_dependency,external_dependency,id_reuse_risk,recommended_next_action,notes
biglotto_deviation_2bet,current P356 replay-eligible Big Lotto,BIG_LOTTO,ONLINE,P356B_MANIFEST,tools/predict_biglotto_deviation_2bet.py,,,,P356B eligible and P356C reviewed replay windows,EXECUTABLE,CURRENT_EXECUTABLE,CURRENT_EXECUTABLE_ALREADY_REPLAYED,ALREADY_REPLAYED_IN_P356,2,list[list[int]],NO,current replay harness,LOW,No P358 adapter needed,Already covered by P356/P357 evidence.
biglotto_echo_aware_3bet,current P356 replay-eligible Big Lotto,BIG_LOTTO,RETIRED,P356B_MANIFEST,tools/predict_biglotto_echo_3bet.py,,,,P356B eligible and P356C reviewed replay windows,EXECUTABLE,CURRENT_EXECUTABLE,CURRENT_EXECUTABLE_ALREADY_REPLAYED,ALREADY_REPLAYED_IN_P356,3,list[list[int]],NO,current replay harness,LOW,No P358 adapter needed,Do not merge with separate predict_biglotto_echo_mixed_3bet candidate label.
biglotto_triple_strike,current P356 replay-eligible Big Lotto,BIG_LOTTO,ONLINE,P356B_MANIFEST,tools/predict_biglotto_triple_strike.py,,,,P356B eligible and P356C reviewed replay windows,EXECUTABLE,CURRENT_EXECUTABLE,CURRENT_EXECUTABLE_ALREADY_REPLAYED,ALREADY_REPLAYED_IN_P356,3,list[list[int]],NO,current replay harness,LOW,No P358 adapter needed,Already covered by P356/P357 evidence.
biglotto_ts3_markov_4bet_w30,current P356 replay-eligible Big Lotto,BIG_LOTTO,RETIRED,P356B_MANIFEST,tools/backtest_biglotto_5bet_ts3markov.py,,,,P356B eligible and P356C reviewed replay windows,EXECUTABLE,CURRENT_EXECUTABLE,CURRENT_EXECUTABLE_ALREADY_REPLAYED,ALREADY_REPLAYED_IN_P356,4,list[list[int]],NO,current replay harness,LOW,No P358 adapter needed,Distinct from registered biglotto_ts3_markov_freq_5bet stub.
cold_complement_biglotto,current P356 replay-eligible Big Lotto,BIG_LOTTO,REJECTED,P356B_MANIFEST,lottery_api/models/p42_wave3_biglotto_adapters.py,,,,P356B eligible and P356C reviewed replay windows,EXECUTABLE,CURRENT_EXECUTABLE,CURRENT_EXECUTABLE_ALREADY_REPLAYED,ALREADY_REPLAYED_IN_P356,1,list[list[int]],NO,current replay harness,LOW,No P358 adapter needed,Already covered by P356/P357 evidence.
coldpool15_biglotto,current P356 replay-eligible Big Lotto,BIG_LOTTO,REJECTED,P356B_MANIFEST,lottery_api/models/p42_wave3_biglotto_adapters.py,,,,P356B eligible and P356C reviewed replay windows,EXECUTABLE,CURRENT_EXECUTABLE,CURRENT_EXECUTABLE_ALREADY_REPLAYED,ALREADY_REPLAYED_IN_P356,1,list[list[int]],NO,current replay harness,LOW,No P358 adapter needed,Already covered by P356/P357 evidence.
fourier30_markov30_biglotto,current P356 replay-eligible Big Lotto,BIG_LOTTO,REJECTED,P356B_MANIFEST,lottery_api/models/p42_wave3_biglotto_adapters.py,,,,P356B eligible and P356C reviewed replay windows,EXECUTABLE,CURRENT_EXECUTABLE,CURRENT_EXECUTABLE_ALREADY_REPLAYED,ALREADY_REPLAYED_IN_P356,1,list[list[int]],NO,current replay harness,LOW,No P358 adapter needed,Already covered by P356/P357 evidence.
markov_2bet_biglotto,current P356 replay-eligible Big Lotto,BIG_LOTTO,REJECTED,P356B_MANIFEST,lottery_api/models/p42_wave3_biglotto_adapters.py,,,,P356B eligible and P356C reviewed replay windows,EXECUTABLE,CURRENT_EXECUTABLE,CURRENT_EXECUTABLE_ALREADY_REPLAYED,ALREADY_REPLAYED_IN_P356,2,list[list[int]],NO,current replay harness,LOW,No P358 adapter needed,Already covered by P356/P357 evidence.
markov_single_biglotto,current P356 replay-eligible Big Lotto,BIG_LOTTO,REJECTED,P356B_MANIFEST,lottery_api/models/p42_wave3_biglotto_adapters.py,,,,P356B eligible and P356C reviewed replay windows,EXECUTABLE,CURRENT_EXECUTABLE,CURRENT_EXECUTABLE_ALREADY_REPLAYED,ALREADY_REPLAYED_IN_P356,1,list[list[int]],NO,current replay harness,LOW,No P358 adapter needed,Already covered by P356/P357 evidence.
ts3_regime_3bet,current P356 replay-eligible Big Lotto,BIG_LOTTO,ONLINE,P356B_MANIFEST,tools/backtest_biglotto_enhancements.py,,,,P356B eligible and P356C reviewed replay windows,EXECUTABLE,CURRENT_EXECUTABLE,CURRENT_EXECUTABLE_ALREADY_REPLAYED,ALREADY_REPLAYED_IN_P356,3,list[list[int]],NO,current replay harness,LOW,No P358 adapter needed,Related but not identical to deleted predict_biglotto_regime.py.
biglotto_p0_2bet,quick_predict.biglotto_p0_2bet current source,BIG_LOTTO,UNKNOWN,PYTHON_CURRENT,tools/quick_predict.py,,,,Current function exists but P356A did not establish replay callable contract,UNKNOWN,HISTORICAL_RESTORABLE,CURRENT_EXECUTABLE_NOT_REPLAYED,READY_FOR_NO_DB_ADAPTER,2,list[list[int]],NO,NO,LOW,Adapter created in P358A,Parity acceptable for no-DB harness against copied current function body.
biglotto_5bet_orthogonal,TS3/Markov/FreqOrt 5bet current/historical overlap,BIG_LOTTO,UNKNOWN,PYTHON_CURRENT,tools/quick_predict.py; tools/backtest_biglotto_5bet_ts3markov.py,,,,Current quick_predict and backtest helper evidence found; adapter avoids DB/scipy imports,UNKNOWN,HISTORICAL_RESTORABLE,HISTORICAL_RESTORABLE_NEEDS_ADAPTER,READY_FOR_SHAPE_ONLY_ADAPTER,5,list[list[int]],NO,stdlib DFT replica,MEDIUM,Adapter created in P358A,Shape/safety-only because exact SciPy FFT ranking parity is not proven.
biglotto_zonal_pruning,zonal pruning with local cluster-pivot replica,BIG_LOTTO,UNKNOWN,PYTHON_CURRENT,tools/biglotto_zonal_pruning.py; tools/predict_biglotto_zonal.py,,,,Current predictor exists but original class constructor opens DB-backed StrategyLeaderboard,UNKNOWN,HISTORICAL_RESTORABLE,HISTORICAL_RESTORABLE_NEEDS_ADAPTER,READY_FOR_SHAPE_ONLY_ADAPTER,4,list[list[int]],YES in source; NO in adapter,NO,LOW,Adapter created in P358A,Local replica avoids StrategyLeaderboard DB constructor; parity is shape/safety-only.
predict_biglotto_echo_2bet,echo-aware deviation 2bet current source,BIG_LOTTO,UNKNOWN,PYTHON_CURRENT,tools/predict_biglotto_echo_2bet.py,,,,Current self-contained scoring function exists with DB loader wrapper,UNKNOWN,HISTORICAL_RESTORABLE,CURRENT_EXECUTABLE_NOT_REPLAYED,READY_FOR_NO_DB_ADAPTER,2,list[list[int]],YES in loader; NO in adapter,NO,LOW,Adapter created in P358A,Adapter copies pure in-memory logic only.
predict_biglotto_echo_phase2,phase2 adaptive echo 2bet current source,BIG_LOTTO,UNKNOWN,PYTHON_CURRENT,tools/predict_biglotto_echo_phase2.py,,,,Current phase2 source exposes 2bet and 3bet functions,UNKNOWN,HISTORICAL_RESTORABLE,CURRENT_EXECUTABLE_NOT_REPLAYED,READY_FOR_NO_DB_ADAPTER,2,list[list[int]],YES in loader; NO in adapter,NO,LOW,Adapter created in P358A,2bet adapter created.
predict_biglotto_echo_phase2,phase2 adaptive echo 3bet current source,BIG_LOTTO,UNKNOWN,PYTHON_CURRENT,tools/predict_biglotto_echo_phase2.py,,,,Current phase2 source exposes 2bet and 3bet functions,UNKNOWN,HISTORICAL_RESTORABLE,CURRENT_EXECUTABLE_NOT_REPLAYED,READY_FOR_NO_DB_ADAPTER,3,list[list[int]],YES in loader; NO in adapter,NO,LOW,Adapter created in P358A,3bet adapter created to preserve alternate output shape.
predict_biglotto_echo_mixed_3bet,echo-aware mixed 3bet current source,BIG_LOTTO,UNKNOWN,PYTHON_CURRENT,tools/predict_biglotto_echo_3bet.py,,,,Current echo-aware mixed 3bet function exists; P356 already covered registry id biglotto_echo_aware_3bet separately,UNKNOWN,HISTORICAL_RESTORABLE,CURRENT_EXECUTABLE_NOT_REPLAYED,READY_FOR_NO_DB_ADAPTER,3,list[list[int]],YES in loader; NO in adapter,NO,MEDIUM,Adapter created in P358A,Kept separate from P356 already-replayed biglotto_echo_aware_3bet label.
biglotto_10bet_combined,deleted combined orthogonal plus p1 deviation 10bet,BIG_LOTTO,DELETED,PYTHON_DELETED,,73062646^,tools/backtest_biglotto_10bet_combined.py,73062646f11d8881ab6c49565977fb553739bdf3,Deleted source restorable and historical quick_predict helper biglotto_p1_deviation_5bet found at same parent,NOT_IN_P356A,HISTORICAL_RESTORABLE,HISTORICAL_RESTORABLE_NEEDS_ADAPTER,READY_FOR_SHAPE_ONLY_ADAPTER,10,list[list[int]],YES in deleted script; NO in adapter,stdlib DFT replica,MEDIUM,Adapter created in P358A,Shape/safety-only because exact numpy/scipy FFT parity is not proven.
predict_biglotto_regime,deleted Sum Regime predictor 3bet,BIG_LOTTO,DELETED,PYTHON_DELETED,,73062646^,tools/predict_biglotto_regime.py,73062646f11d8881ab6c49565977fb553739bdf3,Deleted production predictor restorable from 73062646^,NOT_IN_P356A,HISTORICAL_RESTORABLE,HISTORICAL_RESTORABLE_NEEDS_ADAPTER,READY_FOR_SHAPE_ONLY_ADAPTER,3,list[list[int]],NO in core function; DB in CLI loader,stdlib DFT replica,MEDIUM,Adapter created in P358A,Shape/safety-only and lineage kept distinct from P356 ts3_regime_3bet.
bet2_fourier_expansion_biglotto,current P42/P280 frozen code lineage,BIG_LOTTO,REJECTED/PREVIOUS,PYTHON_CURRENT,lottery_api/models/p42_wave3_biglotto_adapters.py,,,,P356A and P357B confirmed ID reuse with historical rejected JSON lineage,ID_REUSED,ID_REUSED_NEEDS_SPLIT,ID_REUSED_NEEDS_SPLIT,NEEDS_ADAPTER,2,list[list[int]],NO,current model module, HIGH,Defer to separate lineage split task,Do not merge with rejected JSON historical lineage.
bet2_fourier_expansion_biglotto,historical rejected JSON lineage,BIG_LOTTO,REJECTED,REJECTED_JSON,rejected/bet2_fourier_expansion_biglotto.json,,,,Rejected artifact describes different Fourier expansion/zone-filter lineage sharing same strategy_id,ID_REUSED,ID_REUSED_NEEDS_SPLIT,ID_REUSED_NEEDS_SPLIT,NEEDS_RECONSTRUCTION,2,UNKNOWN,NO,missing runnable source,HIGH,Defer reconstruction,No adapter created because runnable source is not available.
