strategy_id,lineage_id,game,bet_count,current_status,executable_status,callable_entrypoint,source_paths,implementation_signature_hash,eligibility_status,exclusion_reason,replay_notes
acb_hot_fourier_3bet_biglotto,acb_hot_fourier_3bet_biglotto__current,BIG_LOTTO,3,UNKNOWN,MISSING_CODE,,docs/replay/p30_reconstructible_candidacy_evaluation_20260521.md;docs/replay/p35_wave2_candidate_planning_20260523.md;docs/replay/p41_wave3_biglotto_adapter_bootstrap_planning_20260524.md;outputs/replay/p1_catalog_visibility_plan_20260519.json;outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p1_strategy_lifecycle_inventory_20260511.md;outputs/replay/p24_full_strategy_universe_inventory_20260521.json;outputs/replay/p26_non_online_strategy_state_labels_20260521.json;outputs/replay/p2_full_catalog_visibility_plan_20260520.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json;outputs/replay/p30_reconstructible_candidacy_evaluation_20260521.json;outputs/replay/p35_wave2_candidate_planning_20260523.json;outputs/replay/p41_wave3_biglotto_adapter_bootstrap_planning_20260524.json;outputs/replay/p6_catalog_apply_plan_v1_20260520.json;outputs/research/p262a_replay_strategy_coverage_audit_20260609.json;rejected/README.md;rejected/acb_hot_fourier_3bet_biglotto.json,24ed2f65a528e486859e28165b5e78247c2bdfbdbcc534bf94d74c74fd7b54b7,EXCLUDED,MISSING_CODE,Excluded: MISSING_CODE.
bet2_fourier_expansion_biglotto,bet2_fourier_expansion_biglotto__p42_p280_frozen_code,BIG_LOTTO,UNKNOWN,REJECTED,ID_REUSED,lottery_api.models.p42_wave3_biglotto_adapters.predict_fourier_expansion_bet1,analysis/p273a_prize_aware_inferential_validation.py;analysis/p280d_big649_future_only_protocol.py;analysis/p333_strategy_pick_combination_scoreboard.py;docs/replay/p112_cross_lottery_prediction_helpfulness_audit_20260527.md;docs/replay/p113_p112_action_decision_matrix_20260527.md;docs/replay/p114_temporal_stability_audit_20260527.md;docs/replay/p124_multi_bet_truth_and_coverage_matrix_20260528.md;docs/replay/p2_prediction_helpfulness_audit_20260526.md;docs/replay/p30_reconstructible_candidacy_evaluation_20260521.md;docs/replay/p35_wave2_candidate_planning_20260523.md;docs/replay/p41_wave3_biglotto_adapter_bootstrap_planning_20260524.md;docs/replay/p42_wave3_biglotto_dryrun_rehearsal_20260524.md;docs/replay/p43_wave3_biglotto_production_apply_20260523.md;docs/replay/p44_wave3_biglotto_performance_analysis_20260523.md;docs/replay/p45_roadmap_update_after_p44_20260524.md;docs/replay/p68_all_strategy_executability_inventory_scan_20260526.md;docs/replay/p69_all_strategy_dry_run_batch_plan_20260526.md;docs/replay/p91_all_strategy_replay_expansion_inventory_20260526.md;docs/replay/p94a_biglotto_all_strategy_betcount_benchmark_20260526.md;lottery_api/models/p42_wave3_biglotto_adapters.py;lottery_api/models/replay_strategy_registry.py;outputs/replay/p112_cross_lottery_prediction_helpfulness_audit_20260527.json;outputs/replay/p113_p112_action_decision_matrix_20260527.json;outputs/replay/p114_temporal_stability_audit_20260527.json;outputs/replay/p124_multi_bet_truth_and_coverage_matrix_20260528.json;outputs/replay/p125_adapter_gap_plan_from_p124_20260528.json;outputs/replay/p1_catalog_visibility_plan_20260519.json;outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p1_strategy_lifecycle_inventory_20260511.md;outputs/replay/p24_full_strategy_universe_inventory_20260521.json;outputs/replay/p26_non_online_strategy_state_labels_20260521.json;outputs/replay/p2_full_catalog_visibility_plan_20260520.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json;outputs/replay/p2_prediction_helpfulness_audit_20260526.json;outputs/replay/p30_reconstructible_candidacy_evaluation_20260521.json;outputs/replay/p35_wave2_candidate_planning_20260523.json;outputs/replay/p41_wave3_biglotto_adapter_bootstrap_planning_20260524.json;outputs/replay/p42_temp_rehearsal_20260524.json;outputs/replay/p42_wave3_biglotto_dryrun_rehearsal_20260524.json;outputs/replay/p43_wave3_biglotto_production_apply_20260523.json;tools/big649_no_db_strategy_output_adapter.py,59d41ff17b8063aa814b05eb3de93688c90c4474621e191c5b76ffe2191f5c43,EXCLUDED,ID_REUSED,Excluded: ID_REUSED.
bet2_fourier_expansion_biglotto,bet2_fourier_expansion_biglotto__rejected_json_historical,BIG_LOTTO,2,REJECTED,ID_REUSED,,rejected/bet2_fourier_expansion_biglotto.json,20df41ca40096cd996f5bfac210e4bfdde4a865f9f42085b4482db24f7e71139,EXCLUDED,ID_REUSED,Excluded: ID_REUSED.
big649_one_shot_publication_runner,big649_one_shot_publication_runner__current,BIG_LOTTO,UNKNOWN,UNKNOWN,UNKNOWN,,outputs/research/p280x_big649_one_shot_publication_runner_design_20260619.json;tests/test_p280x_big649_one_shot_publication_runner.py,3f9e926f63b476a2a2f8c1705212c872408d7f3a60aa4b328bf632eb0bc843c8,EXCLUDED,UNKNOWN,Excluded: UNKNOWN.
big_lotto_m3plus_standalone_inference,big_lotto_m3plus_standalone_inference__current,BIG_LOTTO,UNKNOWN,UNKNOWN,UNKNOWN,,analysis/p277a_historical_observation_status_reclassification.py;outputs/research/p277a_historical_observation_status_reclassification_20260617.json;outputs/research/p277a_historical_observation_status_reclassification_20260617.md,5eb84dc215b8f29946fe14b4629273a368ba3f383f5bbce55855560f212b6666,EXCLUDED,UNKNOWN,Excluded: UNKNOWN.
biglotto-triple,biglotto-triple__current,BIG_LOTTO,UNKNOWN,UNKNOWN,UNKNOWN,,tests/test_p300a_d5_artifact_backed_ui.py,deb665b101fc45906ad84266c515720d321eb4484443fd6fef7e37980b5506be,EXCLUDED,UNKNOWN,Excluded: UNKNOWN.
biglotto_2bet_deviation_complement,biglotto_2bet_deviation_complement__current,BIG_LOTTO,2,UNKNOWN,DOC_ONLY,,docs/replay/p68_all_strategy_executability_inventory_scan_20260526.md;docs/replay/p91_all_strategy_replay_expansion_inventory_20260526.md;outputs/replay/p91_all_strategy_replay_expansion_inventory_20260526.json,0b3071f4b6e9df5e87cc7e4bbcbbe34476be705783115b0d55fa0399a096dba5,EXCLUDED,DOC_ONLY,Excluded: DOC_ONLY.
biglotto_2bet_fourier_rhythm,biglotto_2bet_fourier_rhythm__current,BIG_LOTTO,2,UNKNOWN,DOC_ONLY,,docs/replay/p91_all_strategy_replay_expansion_inventory_20260526.md;outputs/replay/p91_all_strategy_replay_expansion_inventory_20260526.json,a05d7c6511981b63b95315d796e42ccd18da3618ce0428597e7ceea6cf1aaa1b,EXCLUDED,DOC_ONLY,Excluded: DOC_ONLY.
biglotto_3bet_triple_strike_v2,biglotto_3bet_triple_strike_v2__current,BIG_LOTTO,3,UNKNOWN,DOC_ONLY,,docs/replay/p68_all_strategy_executability_inventory_scan_20260526.md;docs/replay/p91_all_strategy_replay_expansion_inventory_20260526.md;outputs/replay/p91_all_strategy_replay_expansion_inventory_20260526.json,72e1398993bf0352e7563d38b766c177f4621e5481ed57afed63a791730bf746,EXCLUDED,DOC_ONLY,Excluded: DOC_ONLY.
biglotto_4bet_ts3_markov_w30,biglotto_4bet_ts3_markov_w30__current,BIG_LOTTO,4,UNKNOWN,DOC_ONLY,,outputs/replay/p91_all_strategy_replay_expansion_inventory_20260526.json,1f4b3151cc4559ca31f82b2d0b3f2876852893f939d03142b4b4e388500d52d0,EXCLUDED,DOC_ONLY,Excluded: DOC_ONLY.
biglotto_5bet_orthogonal,biglotto_5bet_orthogonal__current,BIG_LOTTO,5,UNKNOWN,UNKNOWN,,tools/quick_predict.py,f88bbc2a1977e9142def0a2b9327031f3d65c6f6fa6125b0daad3c1f6f065ab2,EXCLUDED,UNKNOWN,Excluded: UNKNOWN.
biglotto_5bet_ts3_markov_freq,biglotto_5bet_ts3_markov_freq__current,BIG_LOTTO,5,UNKNOWN,DOC_ONLY,,outputs/replay/p91_all_strategy_replay_expansion_inventory_20260526.json,b4a310b527e623afab1b0b71c1be91caa41bb05e1202e1653346988219640d08,EXCLUDED,DOC_ONLY,Excluded: DOC_ONLY.
biglotto_deviation_2bet,biglotto_deviation_2bet__current,BIG_LOTTO,2,ONLINE,EXECUTABLE,tools.predict_biglotto_deviation_2bet.deviation_complement_2bet,analysis/p273a_prize_aware_inferential_validation.py;analysis/p280d_big649_future_only_protocol.py;analysis/p333_strategy_pick_combination_scoreboard.py;docs/replay/p0_registry_reconciliation_20260519.md;docs/replay/p112_cross_lottery_prediction_helpfulness_audit_20260527.md;docs/replay/p113_p112_action_decision_matrix_20260527.md;docs/replay/p114_temporal_stability_audit_20260527.md;docs/replay/p124_multi_bet_truth_and_coverage_matrix_20260528.md;docs/replay/p12_1500_draw_product_realignment_20260520.md;docs/replay/p12_backfill_phase_plan_20260520.md;docs/replay/p14b_biglotto_single_strategy_replay_dry_run_20260520.md;docs/replay/p14d_biglotto_production_apply_result_20260520.md;docs/replay/p15_biglotto_replay_api_integration_20260520.md;docs/replay/p16_biglotto_remaining_strategies_backfill_20260520.md;docs/replay/p17_biglotto_replay_timestamp_api_20260520.md;docs/replay/p18_replay_ui_timestamp_display_20260520.md;docs/replay/p1_catalog_visibility_plan_20260519.md;docs/replay/p1b_registry_reconciliation_20260520.md;docs/replay/p24_full_strategy_universe_inventory_20260521.md;docs/replay/p25a_full_replay_page_browser_verification_20260521.md;docs/replay/p2_full_catalog_visibility_plan_20260520.md;docs/replay/p2_prediction_helpfulness_audit_20260526.md;docs/replay/p38_post_p37_verification_registry_audit_20260523.md;docs/replay/p3_per_draw_all_strategy_coverage_matrix_20260520.md;docs/replay/p41_wave3_biglotto_adapter_bootstrap_planning_20260524.md;docs/replay/p68_all_strategy_executability_inventory_scan_20260526.md;docs/replay/p69_all_strategy_dry_run_batch_plan_20260526.md;docs/replay/p6_catalog_apply_plan_v1_20260520.md;docs/replay/p91_all_strategy_replay_expansion_inventory_20260526.md;docs/replay/p92_tier_b_adapter_audit_dry_run_plan_20260526.md;docs/replay/p94a_biglotto_all_strategy_betcount_benchmark_20260526.md;lottery_api/models/replay_strategy_registry.py;outputs/replay/p0_governance_baseline_report_20260511.md;outputs/replay/p0_replay_data_health_20260510.md;outputs/replay/p0_replay_lifecycle_catalog_truth_inventory_20260509.md;outputs/replay/p0_replay_lifecycle_coverage_20260509.md;outputs/replay/p0_replay_lifecycle_schema_diff_20260509.json;outputs/replay/p0_replay_product_golive_pr_readiness_20260510.md;outputs/replay/p112_cross_lottery_prediction_helpfulness_audit_20260527.json;outputs/replay/p113_p112_action_decision_matrix_20260527.json;tools/big649_no_db_strategy_output_adapter.py;tools/predict_biglotto_deviation_2bet.py,27526d7161d235adf13107b494bb39fcee69cd7d2c354a0570e4da55b546b710,ELIGIBLE,,Eligible for P356B in-memory replay.
biglotto_echo_aware_3bet,biglotto_echo_aware_3bet__current,BIG_LOTTO,3,RETIRED,EXECUTABLE,tools.predict_biglotto_echo_3bet.echo_aware_mixed_3bet,00-Plan/roadmap/agent_bootstrap/CURRENT_STATE.md;analysis/p273a_prize_aware_inferential_validation.py;analysis/p276b_fixed_n_coverage_complementarity.py;analysis/p280d_big649_future_only_protocol.py;docs/replay/p112_cross_lottery_prediction_helpfulness_audit_20260527.md;docs/replay/p113_p112_action_decision_matrix_20260527.md;docs/replay/p114_temporal_stability_audit_20260527.md;docs/replay/p124_multi_bet_truth_and_coverage_matrix_20260528.md;docs/replay/p125_adapter_gap_plan_from_p124_20260528.md;docs/replay/p126_controlled_apply_plan_tier_b_multi_bet_20260528.md;docs/replay/p128_native_multi_bet_storage_design_20260528.md;docs/replay/p92_tier_b_adapter_audit_dry_run_plan_20260526.md;docs/replay/p93_tier_b_replay_adapter_bootstrap_dryrun_20260526.md;docs/replay/p94_tier_b_controlled_apply_20260526.md;docs/replay/p94a_biglotto_all_strategy_betcount_benchmark_20260526.md;lottery_api/models/p93_tierb_replay_adapters.py;lottery_api/models/replay_strategy_registry.py;outputs/replay/p112_cross_lottery_prediction_helpfulness_audit_20260527.json;outputs/replay/p113_p112_action_decision_matrix_20260527.json;outputs/replay/p114_temporal_stability_audit_20260527.json;outputs/replay/p124_multi_bet_truth_and_coverage_matrix_20260528.json;outputs/replay/p125_adapter_gap_plan_from_p124_20260528.json;outputs/replay/p126_controlled_apply_plan_tier_b_multi_bet_20260528.json;outputs/replay/p128_native_multi_bet_storage_design_20260528.json;outputs/replay/p92_tier_b_adapter_audit_dry_run_plan_20260526.json;outputs/replay/p93_tier_b_replay_adapter_bootstrap_dryrun_20260526.json;outputs/replay/p94_tier_b_controlled_apply_20260526.json;outputs/replay/p94a_biglotto_all_strategy_betcount_benchmark_20260526.json;tools/big649_no_db_strategy_output_adapter.py;tools/predict_biglotto_echo_3bet.py,2de4fa1e51f0b9ebcaa75726f67ade585c4d306fc260c7713b21f2b9a93021c2,ELIGIBLE,,Eligible for P356B in-memory replay.
biglotto_fourier_rhythm_2bet,biglotto_fourier_rhythm_2bet__current,BIG_LOTTO,2,UNKNOWN,UNKNOWN,,docs/replay/p93_tier_b_replay_adapter_bootstrap_dryrun_20260526.md;docs/replay/p94a_biglotto_all_strategy_betcount_benchmark_20260526.md;outputs/replay/p92_tier_b_adapter_audit_dry_run_plan_20260526.json;outputs/replay/p94a_biglotto_all_strategy_betcount_benchmark_20260526.json;scripts/p94a_biglotto_all_strategy_betcount_benchmark.py,84d0cb69c9b12dca878f75ee68f0a614b5956a0d48a9082d8d6c7bc644eb804f,EXCLUDED,UNKNOWN,Excluded: UNKNOWN.
biglotto_p0_2bet,biglotto_p0_2bet__current,BIG_LOTTO,2,UNKNOWN,UNKNOWN,,tools/analyze_prediction_115000019.py;tools/backtest_biglotto_p0_2bet.py;tools/quick_predict.py,9c5ea52478ca3e0600004ef830a0d84c0a57f15a3dd245ccb41610616ed26657,EXCLUDED,UNKNOWN,Excluded: UNKNOWN.
